,booked_percentage,clicked_percentage
104517,3.945693678404752,7.382265591854052
124342,3.099787685774947,4.8832271762208075
68420,2.713347921225383,4.682713347921226
40279,2.5054945054945055,5.054945054945055
134154,3.8546743464776254,5.1395657953035006
137997,4.850912327547842,7.74365821094793
59781,1.9599109131403119,3.652561247216036
60846,2.950379973178364,5.006705409029951
49656,1.4349775784753362,2.9596412556053813
77089,5.4708520179372195,8.565022421524663
59657,1.0502283105022832,2.8310502283105023
116942,7.263590680676107,11.192325262677022
35223,1.6902695294655095,3.3348560986751945
38419,3.16949931097841,6.017455213596692
60468,1.747126436781609,3.8620689655172415
21018,2.5806451612903225,5.207373271889401
24545,1.7058552328261871,3.5500230520977407
14082,2.462825278810409,4.739776951672862
77795,1.7674418604651163,3.2093023255813953
37818,4.908835904628331,7.48013090229079
70177,4.276315789473684,6.484962406015038
46274,0.4263382283278067,1.3737565135007106
122112,0.23730422401518747,0.9017560512577124
94455,1.2351543942992875,2.4228028503562946
78500,2.696196437168994,4.18873375060183
90845,2.1379980563654035,3.741496598639456
117294,0.3009027081243731,0.8525576730190572
131892,2.416918429003021,4.632426988922457
114932,0.7049345417925479,1.2588116817724069
125083,0.7183170856849667,2.103642893791688
26248,0.6114508060033352,1.1117287381878822
61529,5.02540937323546,6.775832862789384
53494,6.610169491525424,8.813559322033898
90809,0.33975084937712347,1.1325028312570782
126657,3.500301750150875,5.552202776101388
1230,4.776299879081016,7.194679564691657
77914,0.25109855618330196,0.7532956685499058
7880,2.6498422712933754,4.037854889589906
3213,3.1847133757961785,5.35031847133758
90730,3.205128205128205,4.985754985754986
15994,2.9369627507163325,5.659025787965616
41278,4.098360655737705,7.153502235469449
69261,1.5813253012048192,2.2590361445783134
23268,5.529595015576324,9.735202492211839
41712,0.7849293563579277,1.2558869701726845
105408,3.277378097521982,6.554756195043964
135499,2.2764227642276422,4.0650406504065035
13674,5.460472697636512,8.394458027709861
138600,2.236951118475559,3.47970173985087
79740,6.454316848281643,8.801341156747695
44923,2.9812606473594547,4.003407155025554
17633,4.065743944636678,6.228373702422145
8864,4.450261780104712,6.719022687609074
34151,7.26159230096238,9.186351706036746
23212,2.9850746268656714,5.092186128182616
134323,0.1773049645390071,0.26595744680851063
69184,2.5112107623318383,3.0493273542600896
41400,2.436823104693141,3.3393501805054155
15390,3.1278748850046,3.863845446182153
80475,5.653382761816497,7.877664504170529
57952,0.0946073793755913,0.1892147587511826
35679,4.454976303317536,7.0142180094786735
5002,1.8164435946462716,2.390057361376673
25159,7.492795389048991,9.414024975984631
4503,0.3853564547206166,0.7707129094412332
1497,2.8957528957528957,4.922779922779923
5322,2.2243713733075436,3.8684719535783367
35264,0.6789524733268671,2.0368574199806013
30950,2.524271844660194,3.0097087378640777
67477,3.498542274052478,4.664723032069971
74754,0.8797653958944283,1.466275659824047
23190,2.857142857142857,4.334975369458128
4875,3.857566765578635,5.835806132542038
78838,2.3069207622868606,4.413239719157472
7377,3.9593908629441623,6.091370558375635
25416,1.2195121951219512,2.4390243902439024
124166,2.3469387755102042,3.9795918367346936
133689,3.881511746680286,5.9244126659857
57125,3.8183694530443755,5.572755417956656
93974,1.1351909184726523,2.2703818369453046
10746,2.2774327122153206,4.140786749482402
60144,2.8183716075156577,4.592901878914405
14536,7.322175732217573,12.343096234309623
132817,3.777544596012592,7.345225603357817
31359,1.5739769150052465,3.147953830010493
134786,2.5396825396825395,5.82010582010582
65100,3.4006376195536663,4.888416578108395
41585,2.679528403001072,6.216505894962487
99894,1.8259935553168638,3.866809881847476
106230,4.726100966702471,7.196562835660581
25476,3.225806451612903,6.881720430107527
38904,0.0,0.5405405405405406
46501,1.948051948051948,2.813852813852814
39748,0.8676789587852495,1.735357917570499
37788,2.3887079261672097,5.754614549402823
8962,3.260869565217391,5.978260869565218
8161,3.0735455543358947,5.488474204171241
98736,3.08030803080308,4.84048404840484
77109,2.4229074889867843,4.295154185022026
31945,1.4332965821389196,4.5203969128996695
67376,2.209944751381215,3.314917127071823
125053,3.10077519379845,5.094130675526024
24041,3.884572697003329,5.771365149833518
56064,2.8921023359288096,3.6707452725250276
81720,0.11173184357541899,0.6703910614525139
77935,1.564245810055866,2.011173184357542
21155,6.7114093959731544,9.955257270693513
135195,2.1372328458942635,5.62429696287964
137514,1.2429378531073447,2.598870056497175
68783,1.2429378531073447,2.711864406779661
92698,5.889014722536806,9.85277463193658
70934,3.4324942791762014,5.034324942791762
35043,3.9397450753186556,7.879490150637311
11948,3.7383177570093453,6.5420560747663545
106819,1.4018691588785046,3.1542056074766354
126719,1.5240328253223916,1.875732708089097
121287,2.1176470588235294,4.470588235294118
21808,3.0624263839811543,4.47585394581861
90380,1.3064133016627077,1.7814726840855106
112101,0.5945303210463734,0.9512485136741973
100081,2.976190476190476,6.666666666666667
68002,1.66865315852205,2.264600715137068
67964,5.615292712066906,8.24372759856631
22578,16.726403823178014,21.74432497013142
73077,2.3894862604540026,2.867383512544803
112502,7.664670658682635,10.778443113772456
86639,1.9184652278177456,3.477218225419664
2906,1.4457831325301205,2.4096385542168677
57114,0.9650180940892641,2.1712907117008444
95369,3.7439613526570046,4.830917874396135
124778,3.143893591293833,4.594921402660217
42875,1.5795868772782502,3.2806804374240586
40048,2.67639902676399,3.7712895377128954
139917,2.67639902676399,4.13625304136253
120248,7.1951219512195115,10.487804878048781
98457,1.465201465201465,2.197802197802198
31643,1.7135862913096693,2.3255813953488373
106421,2.3284313725490198,4.044117647058823
53547,11.042944785276074,13.742331288343559
21198,7.371007371007371,9.828009828009828
69489,0.6150061500615006,1.5990159901599015
79068,2.9629629629629632,4.197530864197531
74298,0.9913258983890955,1.6109045848822798
24519,1.8633540372670807,3.229813664596273
126665,2.360248447204969,4.099378881987578
119316,1.2453300124533,2.2415940224159403
110940,6.242197253433209,8.863920099875156
32887,3.634085213032581,6.641604010025063
7895,1.6290726817042605,2.506265664160401
54795,7.142857142857142,11.278195488721805
80545,6.909547738693467,9.170854271356783
113983,5.157232704402516,6.289308176100629
53341,8.827238335435057,11.727616645649434
128615,3.909205548549811,6.431273644388398
125311,0.8827238335435058,1.1349306431273645
68689,2.146464646464646,3.535353535353535
38725,0.7575757575757576,1.1363636363636365
5286,2.904040404040404,3.9141414141414144
28132,1.5170670037926675,2.781289506953224
64949,7.858048162230672,11.280101394169835
48004,1.394169835234474,2.6615969581749046
80579,2.1546261089987326,3.929024081115336
10107,3.435114503816794,4.8346055979643765
75205,1.1479591836734695,1.530612244897959
113349,2.933673469387755,4.464285714285714
27711,2.0434227330779056,3.3205619412515963
32842,1.0217113665389528,2.554278416347382
10418,1.0269576379974326,2.6957637997432604
85065,5.263157894736842,7.445442875481387
132210,10.282776349614396,13.239074550128535
50366,3.2133676092544987,7.069408740359898
76443,1.7994858611825193,3.2133676092544987
67233,1.1568123393316194,1.7994858611825193
40463,3.8560411311053984,8.997429305912597
46505,1.5444015444015444,2.445302445302445
139366,1.1597938144329898,1.9329896907216495
4256,5.684754521963824,8.010335917312661
112479,4.409857328145266,6.744487678339818
59081,2.853437094682231,4.539559014267185
18569,1.2987012987012987,3.2467532467532463
32112,5.0649350649350655,6.623376623376623
119002,6.119791666666666,10.9375
6713,1.3020833333333335,2.213541666666667
73145,1.9607843137254901,2.8758169934640523
31442,8.758169934640522,16.07843137254902
117347,1.9659239842726082,4.718217562254259
137042,10.484927916120576,13.106159895150721
9522,0.9186351706036745,2.493438320209974
95307,9.329829172141919,11.169513797634691
118670,4.336399474375821,7.095926412614981
3775,3.421052631578948,5.131578947368421
38758,1.8421052631578945,2.8947368421052633
35010,2.635046113306983,4.216073781291173
77074,1.1889035667107,2.1136063408190227
10763,1.8518518518518516,3.439153439153439
108213,1.8543046357615895,2.913907284768212
42693,2.251655629139073,3.576158940397351
66917,2.781456953642384,4.503311258278146
88096,5.444887118193891,7.171314741035857
61695,3.5952063914780292,7.1904127829560585
135028,5.725699067909454,7.1904127829560585
101520,3.5952063914780292,4.394141145139813
63417,2.2666666666666666,3.8666666666666667
133943,1.4686248331108143,3.6048064085447264
63604,0.8021390374331552,1.8716577540106951
66606,1.6042780748663104,2.0053475935828877
60084,4.1554959785522785,6.166219839142091
29633,0.0,0.40214477211796246
56917,1.476510067114094,2.2818791946308723
90920,4.704301075268817,6.451612903225806
30435,2.4193548387096775,4.301075268817205
70683,2.0188425302826376,4.037685060565275
90254,1.7520215633423182,2.560646900269542
47556,0.8086253369272237,2.2911051212938007
35817,0.9446693657219973,1.214574898785425
114777,1.891891891891892,3.9189189189189193
110663,2.5675675675675675,4.72972972972973
17105,1.7591339648173208,4.059539918809202
121267,1.2211668928086838,3.2564450474898234
94241,3.6635006784260513,5.020352781546811
110915,4.35967302452316,9.400544959128066
131917,6.002728512960437,8.867667121418826
31486,2.8688524590163933,5.191256830601093
106262,0.546448087431694,0.819672131147541
106307,0.8207934336525308,1.231190150478796
128090,3.9726027397260277,8.082191780821917
44213,8.23045267489712,14.951989026063101
77574,2.4725274725274726,3.708791208791209
24092,3.8461538461538463,5.631868131868132
18635,1.7857142857142856,3.571428571428571
106236,2.613480055020633,3.43878954607978
73173,2.200825309491059,3.576341127922971
63105,2.6170798898071626,3.1680440771349865
20430,2.203856749311295,3.0303030303030303
126899,1.1019283746556474,1.5151515151515151
5505,1.6551724137931034,2.6206896551724137
88218,6.353591160220995,8.977900552486188
51178,9.681881051175658,13.831258644536653
113229,1.5214384508990317,3.0428769017980635
25564,1.8005540166204987,2.9085872576177287
45896,2.0775623268698062,7.063711911357341
135551,5.825242718446602,9.29264909847434
129643,2.510460251046025,3.905160390516039
65606,6.564245810055866,8.938547486033519
139197,0.9790209790209791,2.097902097902098
80034,3.361344537815126,5.322128851540616
64762,2.387640449438202,4.634831460674158
96099,1.6853932584269662,2.528089887640449
118766,2.247191011235955,5.617977528089887
114209,3.2348804500703237,4.922644163150492
102874,5.063291139240507,8.29817158931083
14024,3.0985915492957745,4.929577464788732
36412,4.366197183098591,6.197183098591549
43657,6.064880112834979,9.30888575458392
59526,4.107648725212465,5.099150141643059
127861,1.9830028328611897,2.8328611898017
61011,3.5511363636363638,5.5397727272727275
139165,1.4204545454545454,2.414772727272727
79398,2.7065527065527064,3.9886039886039883
96112,1.8544935805991443,2.5677603423680457
126818,2.282453637660485,3.4236804564907275
57170,1.2875536480686696,2.28898426323319
100664,2.005730659025788,4.154727793696275
85430,0.5730659025787965,1.5759312320916905
133846,6.446991404011461,8.739255014326648
64017,5.587392550143266,9.025787965616045
125744,3.5868005738880915,5.4519368723099
28495,3.4482758620689653,6.17816091954023
11414,1.5804597701149428,3.7356321839080464
36427,3.3045977011494254,4.454022988505748
25070,1.7266187050359711,2.446043165467626
8374,1.585014409221902,3.602305475504323
18859,0.5772005772005772,1.875901875901876
84526,4.617604617604617,6.349206349206349
22013,2.5974025974025974,5.194805194805195
79106,1.1560693641618496,1.300578034682081
115994,2.312138728323699,3.1791907514450863
37346,0.43415340086830684,1.3024602026049203
67688,4.052098408104197,6.946454413892909
25236,7.591240875912408,10.072992700729927
19743,1.897810218978102,3.795620437956204
54116,3.216374269005848,5.116959064327485
77465,0.29282576866764276,0.5856515373352855
54739,6.158357771260997,9.237536656891496
136880,2.2026431718061676,3.524229074889868
57169,2.4963289280469896,4.1116005873715125
115763,2.2058823529411766,4.705882352941177
5961,0.7363770250368188,1.914580265095729
62168,1.6200294550810017,2.798232695139912
115213,3.5450516986706058,4.579025110782865
41488,4.289940828402367,4.881656804733728
131352,2.366863905325444,4.437869822485207
98106,3.5502958579881656,5.769230769230769
126732,3.851851851851852,5.481481481481482
56880,3.851851851851852,5.62962962962963
